Timestamps,Type,Mean
10/11/2019,ESG-Mean,0.220113292
11/11/2019,ESG-Mean,0.219099035
12/11/2019,ESG-Mean,0.218329519
13/11/2019,ESG-Mean,0.217327532
14/11/2019,ESG-Mean,0.217065384
15/11/2019,ESG-Mean,0.216980117
16/11/2019,ESG-Mean,0.216754335
17/11/2019,ESG-Mean,0.216446412
18/11/2019,ESG-Mean,0.215592895
19/11/2019,ESG-Mean,0.215372943
20/11/2019,ESG-Mean,0.213925479
21/11/2019,ESG-Mean,0.214299081
22/11/2019,ESG-Mean,0.212518714
23/11/2019,ESG-Mean,0.210091219
24/11/2019,ESG-Mean,0.210293169
25/11/2019,ESG-Mean,0.210186346
26/11/2019,ESG-Mean,0.212048518
27/11/2019,ESG-Mean,0.212132149
28/11/2019,ESG-Mean,0.212551546
29/11/2019,ESG-Mean,0.211473831
30/11/2019,ESG-Mean,0.210553989
01/12/2019,ESG-Mean,0.210761625
02/12/2019,ESG-Mean,0.210811339
03/12/2019,ESG-Mean,0.212377917
04/12/2019,ESG-Mean,0.213331909
05/12/2019,ESG-Mean,0.213582333
06/12/2019,ESG-Mean,0.212570684
07/12/2019,ESG-Mean,0.209897771
08/12/2019,ESG-Mean,0.207554419
09/12/2019,ESG-Mean,0.206921782
10/12/2019,ESG-Mean,0.207136431
11/12/2019,ESG-Mean,0.209990056
12/12/2019,ESG-Mean,0.213187384
13/12/2019,ESG-Mean,0.216588892
14/12/2019,ESG-Mean,0.216830233
15/12/2019,ESG-Mean,0.216199202
16/12/2019,ESG-Mean,0.217601963
17/12/2019,ESG-Mean,0.217693415
18/12/2019,ESG-Mean,0.216433319
19/12/2019,ESG-Mean,0.215079723
20/12/2019,ESG-Mean,0.215907176
21/12/2019,ESG-Mean,0.213802658
22/12/2019,ESG-Mean,0.212436743
23/12/2019,ESG-Mean,0.213386772
24/12/2019,ESG-Mean,0.214346286
25/12/2019,ESG-Mean,0.214635959
26/12/2019,ESG-Mean,0.214281147
27/12/2019,ESG-Mean,0.211380193
28/12/2019,ESG-Mean,0.208702222
29/12/2019,ESG-Mean,0.2061668
30/12/2019,ESG-Mean,0.204538874
31/12/2019,ESG-Mean,0.200924293
01/01/2020,ESG-Mean,0.201019903
02/01/2020,ESG-Mean,0.202767391
03/01/2020,ESG-Mean,0.200842674
04/01/2020,ESG-Mean,0.197002641
05/01/2020,ESG-Mean,0.195551503
06/01/2020,ESG-Mean,0.194784547
07/01/2020,ESG-Mean,0.196283985
08/01/2020,ESG-Mean,0.196023344
09/01/2020,ESG-Mean,0.198602741
10/01/2020,ESG-Mean,0.19970364
11/01/2020,ESG-Mean,0.198799635
12/01/2020,ESG-Mean,0.197888234
13/01/2020,ESG-Mean,0.199930745
14/01/2020,ESG-Mean,0.201699765
15/01/2020,ESG-Mean,0.204023865
16/01/2020,ESG-Mean,0.206966806
17/01/2020,ESG-Mean,0.206496202
18/01/2020,ESG-Mean,0.204469501
19/01/2020,ESG-Mean,0.205982717
20/01/2020,ESG-Mean,0.206384072
21/01/2020,ESG-Mean,0.206267389
22/01/2020,ESG-Mean,0.203955089
23/01/2020,ESG-Mean,0.201863075
24/01/2020,ESG-Mean,0.19692299
25/01/2020,ESG-Mean,0.194063272
26/01/2020,ESG-Mean,0.192239132
27/01/2020,ESG-Mean,0.189141341
28/01/2020,ESG-Mean,0.188602918
29/01/2020,ESG-Mean,0.187700774
30/01/2020,ESG-Mean,0.185649226
31/01/2020,ESG-Mean,0.184333894
01/02/2020,ESG-Mean,0.182356818
02/02/2020,ESG-Mean,0.181205016
03/02/2020,ESG-Mean,0.18052529
04/02/2020,ESG-Mean,0.181674781
05/02/2020,ESG-Mean,0.18192313
06/02/2020,ESG-Mean,0.182118241
07/02/2020,ESG-Mean,0.180032366
08/02/2020,ESG-Mean,0.176844514
09/02/2020,ESG-Mean,0.17568107
10/02/2020,ESG-Mean,0.174069784
11/02/2020,ESG-Mean,0.174701132
12/02/2020,ESG-Mean,0.174766193
13/02/2020,ESG-Mean,0.17503041
14/02/2020,ESG-Mean,0.175858006
15/02/2020,ESG-Mean,0.173450805
16/02/2020,ESG-Mean,0.173269611
17/02/2020,ESG-Mean,0.17316505
18/02/2020,ESG-Mean,0.173795365
19/02/2020,ESG-Mean,0.175875838
20/02/2020,ESG-Mean,0.177118224
21/02/2020,ESG-Mean,0.176609128
22/02/2020,ESG-Mean,0.176464657
23/02/2020,ESG-Mean,0.177328034
24/02/2020,ESG-Mean,0.175745561
25/02/2020,ESG-Mean,0.174054088
26/02/2020,ESG-Mean,0.171250256
27/02/2020,ESG-Mean,0.16946119
28/02/2020,ESG-Mean,0.163818154
29/02/2020,ESG-Mean,0.160790023
01/03/2020,ESG-Mean,0.159446775
02/03/2020,ESG-Mean,0.160037986
03/03/2020,ESG-Mean,0.15988174
04/03/2020,ESG-Mean,0.159933879
05/03/2020,ESG-Mean,0.159280212
06/03/2020,ESG-Mean,0.154336784
07/03/2020,ESG-Mean,0.152317671
08/03/2020,ESG-Mean,0.151723521
09/03/2020,ESG-Mean,0.144967703
10/03/2020,ESG-Mean,0.140880887
11/03/2020,ESG-Mean,0.138945937
12/03/2020,ESG-Mean,0.135089268
13/03/2020,ESG-Mean,0.132480707
14/03/2020,ESG-Mean,0.131039635
15/03/2020,ESG-Mean,0.129229198
16/03/2020,ESG-Mean,0.125012955
17/03/2020,ESG-Mean,0.121894134
18/03/2020,ESG-Mean,0.118556041
19/03/2020,ESG-Mean,0.11553408
20/03/2020,ESG-Mean,0.1106705
21/03/2020,ESG-Mean,0.10914953
22/03/2020,ESG-Mean,0.108028311
23/03/2020,ESG-Mean,0.106503212
24/03/2020,ESG-Mean,0.105541176
25/03/2020,ESG-Mean,0.104998026
26/03/2020,ESG-Mean,0.10226676
27/03/2020,ESG-Mean,0.101181406
28/03/2020,ESG-Mean,0.099967485
29/03/2020,ESG-Mean,0.099091837
30/03/2020,ESG-Mean,0.097104831
31/03/2020,ESG-Mean,0.097803247
01/04/2020,ESG-Mean,0.097952864
02/04/2020,ESG-Mean,0.095217052
03/04/2020,ESG-Mean,0.0920162
04/04/2020,ESG-Mean,0.090356463
05/04/2020,ESG-Mean,0.088375745
06/04/2020,ESG-Mean,0.089348502
07/04/2020,ESG-Mean,0.090655355
08/04/2020,ESG-Mean,0.090502711
09/04/2020,ESG-Mean,0.091002526
10/04/2020,ESG-Mean,0.090009891
11/04/2020,ESG-Mean,0.089064841
12/04/2020,ESG-Mean,0.088174623
13/04/2020,ESG-Mean,0.085708477
14/04/2020,ESG-Mean,0.086090773
15/04/2020,ESG-Mean,0.086167463
16/04/2020,ESG-Mean,0.083602916
17/04/2020,ESG-Mean,0.082235307
18/04/2020,ESG-Mean,0.081724206
19/04/2020,ESG-Mean,0.081120043
20/04/2020,ESG-Mean,0.081637513
21/04/2020,ESG-Mean,0.081083382
22/04/2020,ESG-Mean,0.083115083
23/04/2020,ESG-Mean,0.085637451
24/04/2020,ESG-Mean,0.086019285
25/04/2020,ESG-Mean,0.085567448
26/04/2020,ESG-Mean,0.084709721
27/04/2020,ESG-Mean,0.084891991
28/04/2020,ESG-Mean,0.08569034
29/04/2020,ESG-Mean,0.086926598
30/04/2020,ESG-Mean,0.087209167
01/05/2020,ESG-Mean,0.088033583
02/05/2020,ESG-Mean,0.087607045
03/05/2020,ESG-Mean,0.08669512
04/05/2020,ESG-Mean,0.086999626
05/05/2020,ESG-Mean,0.087656643
06/05/2020,ESG-Mean,0.088752169
07/05/2020,ESG-Mean,0.089084731
08/05/2020,ESG-Mean,0.088228029
09/05/2020,ESG-Mean,0.088611253
10/05/2020,ESG-Mean,0.089180029
11/05/2020,ESG-Mean,0.089792394
12/05/2020,ESG-Mean,0.089782539
13/05/2020,ESG-Mean,0.089025943
14/05/2020,ESG-Mean,0.088347229
15/05/2020,ESG-Mean,0.085662198
16/05/2020,ESG-Mean,0.084208714
17/05/2020,ESG-Mean,0.083959621
18/05/2020,ESG-Mean,0.08550731
19/05/2020,ESG-Mean,0.090955735
20/05/2020,ESG-Mean,0.092327127
21/05/2020,ESG-Mean,0.092702198
22/05/2020,ESG-Mean,0.091692218
23/05/2020,ESG-Mean,0.089899385
24/05/2020,ESG-Mean,0.088922595
25/05/2020,ESG-Mean,0.088447884
26/05/2020,ESG-Mean,0.091091293
27/05/2020,ESG-Mean,0.093903213
28/05/2020,ESG-Mean,0.094819386
29/05/2020,ESG-Mean,0.092705053
30/05/2020,ESG-Mean,0.090650183
31/05/2020,ESG-Mean,0.087619797
01/06/2020,ESG-Mean,0.08777027
02/06/2020,ESG-Mean,0.086184908
03/06/2020,ESG-Mean,0.087861825
04/06/2020,ESG-Mean,0.090699825
05/06/2020,ESG-Mean,0.093716284
06/06/2020,ESG-Mean,0.093486461
07/06/2020,ESG-Mean,0.093196207
08/06/2020,ESG-Mean,0.094665605
09/06/2020,ESG-Mean,0.096115829
10/06/2020,ESG-Mean,0.099359398
11/06/2020,ESG-Mean,0.100678491
12/06/2020,ESG-Mean,0.101127211
13/06/2020,ESG-Mean,0.100061711
14/06/2020,ESG-Mean,0.097819615
15/06/2020,ESG-Mean,0.098905266
16/06/2020,ESG-Mean,0.100888433
17/06/2020,ESG-Mean,0.101672374
18/06/2020,ESG-Mean,0.102234487
19/06/2020,ESG-Mean,0.102903486
20/06/2020,ESG-Mean,0.101100579
21/06/2020,ESG-Mean,0.09925436
22/06/2020,ESG-Mean,0.100167153
23/06/2020,ESG-Mean,0.10235968
24/06/2020,ESG-Mean,0.103103904
