Timestamps,Type1,Data1
25/05/2020,SDG-STD,1.138112039
26/05/2020,SDG-STD,1.136470932
27/05/2020,SDG-STD,1.134327543
28/05/2020,SDG-STD,1.135392618
29/05/2020,SDG-STD,1.136735129
30/05/2020,SDG-STD,1.139314928
31/05/2020,SDG-STD,1.142832101
01/06/2020,SDG-STD,1.146083195
02/06/2020,SDG-STD,1.150392787
03/06/2020,SDG-STD,1.149482085
04/06/2020,SDG-STD,1.147886624
05/06/2020,SDG-STD,1.143715822
06/06/2020,SDG-STD,1.14308699
07/06/2020,SDG-STD,1.14209498
08/06/2020,SDG-STD,1.140811747
09/06/2020,SDG-STD,1.138423548
10/06/2020,SDG-STD,1.136533889
11/06/2020,SDG-STD,1.135061094
12/06/2020,SDG-STD,1.13503282
13/06/2020,SDG-STD,1.135693763
14/06/2020,SDG-STD,1.137249712
15/06/2020,SDG-STD,1.137631036
16/06/2020,SDG-STD,1.136575695
17/06/2020,SDG-STD,1.136024999
18/06/2020,SDG-STD,1.135622031
19/06/2020,SDG-STD,1.132310168
20/06/2020,SDG-STD,1.134105056
21/06/2020,SDG-STD,1.135094229
22/06/2020,SDG-STD,1.134252597
23/06/2020,SDG-STD,1.13352882
24/06/2020,SDG-STD,1.134186353
25/06/2020,SDG-STD,1.135721707
26/06/2020,SDG-STD,1.137195937
27/06/2020,SDG-STD,1.139139352
28/06/2020,SDG-STD,1.139937726
29/06/2020,SDG-STD,1.141310551
30/06/2020,SDG-STD,1.139031492
01/07/2019,Sentiment-STD,0.938452052
02/07/2019,Sentiment-STD,0.938544342
03/07/2019,Sentiment-STD,0.942308733
04/07/2019,Sentiment-STD,0.942917167
05/07/2019,Sentiment-STD,0.941144853
06/07/2019,Sentiment-STD,0.939072973
07/07/2019,Sentiment-STD,0.937528207
08/07/2019,Sentiment-STD,0.939644074
09/07/2019,Sentiment-STD,0.942252214
10/07/2019,Sentiment-STD,0.942608071
11/07/2019,Sentiment-STD,0.942174614
12/07/2019,Sentiment-STD,0.939889032
13/07/2019,Sentiment-STD,0.938504275
14/07/2019,Sentiment-STD,0.936823938
15/07/2019,Sentiment-STD,0.93843162
16/07/2019,Sentiment-STD,0.939524351
17/07/2019,Sentiment-STD,0.942072358
18/07/2019,Sentiment-STD,0.949529749
19/07/2019,Sentiment-STD,0.967097681
20/07/2019,Sentiment-STD,0.964544837
21/07/2019,Sentiment-STD,0.960434225
22/07/2019,Sentiment-STD,0.958471602
23/07/2019,Sentiment-STD,0.956220145
24/07/2019,Sentiment-STD,0.955048074
25/07/2019,Sentiment-STD,0.951151191
26/07/2019,Sentiment-STD,0.947924732
27/07/2019,Sentiment-STD,0.945186117
28/07/2019,Sentiment-STD,0.940377276
29/07/2019,Sentiment-STD,0.939338675
30/07/2019,Sentiment-STD,0.938533023
31/07/2019,Sentiment-STD,0.93826581
01/08/2019,Sentiment-STD,0.940554485
02/08/2019,Sentiment-STD,0.945488234
03/08/2019,Sentiment-STD,0.945984587
04/08/2019,Sentiment-STD,0.946996771
05/08/2019,Sentiment-STD,0.952485553
06/08/2019,Sentiment-STD,0.952686481
07/08/2019,Sentiment-STD,0.949694803
08/08/2019,Sentiment-STD,0.950303855
09/08/2019,Sentiment-STD,0.950122235
10/08/2019,Sentiment-STD,0.947258524
11/08/2019,Sentiment-STD,0.943795805
12/08/2019,Sentiment-STD,0.942454178
13/08/2019,Sentiment-STD,0.944596979
14/08/2019,Sentiment-STD,0.95285158
15/08/2019,Sentiment-STD,0.955117175
16/08/2019,Sentiment-STD,0.952666836
17/08/2019,Sentiment-STD,0.950264395
18/08/2019,Sentiment-STD,0.946613741
19/08/2019,Sentiment-STD,0.94516671
20/08/2019,Sentiment-STD,0.941692554
21/08/2019,Sentiment-STD,0.938542347
22/08/2019,Sentiment-STD,0.941510782
23/08/2019,Sentiment-STD,0.942631224
24/08/2019,Sentiment-STD,0.943434635
25/08/2019,Sentiment-STD,0.940460843
26/08/2019,Sentiment-STD,0.939411889
27/08/2019,Sentiment-STD,0.94051979
28/08/2019,Sentiment-STD,0.94012149
29/08/2019,Sentiment-STD,0.941219048
30/08/2019,Sentiment-STD,0.939919777
31/08/2019,Sentiment-STD,0.937679191
01/09/2019,Sentiment-STD,0.938612312
02/09/2019,Sentiment-STD,0.935360965
03/09/2019,Sentiment-STD,0.937756669
04/09/2019,Sentiment-STD,0.944978384
05/09/2019,Sentiment-STD,0.946735515
06/09/2019,Sentiment-STD,0.947524075
07/09/2019,Sentiment-STD,0.942583086
08/09/2019,Sentiment-STD,0.937755085
09/09/2019,Sentiment-STD,0.937786051
10/09/2019,Sentiment-STD,0.937493774
11/09/2019,Sentiment-STD,0.938468879
12/09/2019,Sentiment-STD,0.938692241
13/09/2019,Sentiment-STD,0.93755526
14/09/2019,Sentiment-STD,0.934275811
15/09/2019,Sentiment-STD,0.933615611
16/09/2019,Sentiment-STD,0.937113737
17/09/2019,Sentiment-STD,0.94172336
18/09/2019,Sentiment-STD,0.945781471
19/09/2019,Sentiment-STD,0.949680347
20/09/2019,Sentiment-STD,0.950659346
21/09/2019,Sentiment-STD,0.948165806
22/09/2019,Sentiment-STD,0.946011652
23/09/2019,Sentiment-STD,0.942443291
24/09/2019,Sentiment-STD,0.944732409
25/09/2019,Sentiment-STD,0.9462515
26/09/2019,Sentiment-STD,0.945293881
27/09/2019,Sentiment-STD,0.945828225
28/09/2019,Sentiment-STD,0.944660701
29/09/2019,Sentiment-STD,0.941704043
30/09/2019,Sentiment-STD,0.939220733
01/10/2019,Sentiment-STD,0.941149083
02/10/2019,Sentiment-STD,0.94261361
03/10/2019,Sentiment-STD,0.945469579
04/10/2019,Sentiment-STD,0.946785266
05/10/2019,Sentiment-STD,0.944441457
06/10/2019,Sentiment-STD,0.940243641
07/10/2019,Sentiment-STD,0.938186628
08/10/2019,Sentiment-STD,0.941757713
09/10/2019,Sentiment-STD,0.944484146
10/10/2019,Sentiment-STD,0.946992286
11/10/2019,Sentiment-STD,0.946232674
12/10/2019,Sentiment-STD,0.945855307
13/10/2019,Sentiment-STD,0.942419403
14/10/2019,Sentiment-STD,0.940715233
15/10/2019,Sentiment-STD,0.944874782
16/10/2019,Sentiment-STD,0.947848875
17/10/2019,Sentiment-STD,0.947759279
18/10/2019,Sentiment-STD,0.948626691
19/10/2019,Sentiment-STD,0.946884909
20/10/2019,Sentiment-STD,0.942645766
21/10/2019,Sentiment-STD,0.943991309
22/10/2019,Sentiment-STD,0.947896772
23/10/2019,Sentiment-STD,0.951737321
24/10/2019,Sentiment-STD,0.951525949
25/10/2019,Sentiment-STD,0.951495332
26/10/2019,Sentiment-STD,0.948588586
27/10/2019,Sentiment-STD,0.942600913
28/10/2019,Sentiment-STD,0.942863193
29/10/2019,Sentiment-STD,0.943026974
30/10/2019,Sentiment-STD,0.94242724
31/10/2019,Sentiment-STD,0.944420207
01/11/2019,Sentiment-STD,0.942520948
02/11/2019,Sentiment-STD,0.940709742
03/11/2019,Sentiment-STD,0.936805654
04/11/2019,Sentiment-STD,0.934346109
05/11/2019,Sentiment-STD,0.934789653
06/11/2019,Sentiment-STD,0.936461826
07/11/2019,Sentiment-STD,0.937824669
08/11/2019,Sentiment-STD,0.940241761
09/11/2019,Sentiment-STD,0.93985515
10/11/2019,Sentiment-STD,0.937204462
11/11/2019,Sentiment-STD,0.93581481
12/11/2019,Sentiment-STD,0.936402389
13/11/2019,Sentiment-STD,0.939137806
14/11/2019,Sentiment-STD,0.94120797
15/11/2019,Sentiment-STD,0.939294956
16/11/2019,Sentiment-STD,0.938920692
17/11/2019,Sentiment-STD,0.935158351
18/11/2019,Sentiment-STD,0.932941278
19/11/2019,Sentiment-STD,0.939255518
20/11/2019,Sentiment-STD,0.942673486
21/11/2019,Sentiment-STD,0.950668787
22/11/2019,Sentiment-STD,0.953423058
23/11/2019,Sentiment-STD,0.953865061
24/11/2019,Sentiment-STD,0.953310903
25/11/2019,Sentiment-STD,0.954844057
26/11/2019,Sentiment-STD,0.954318396
27/11/2019,Sentiment-STD,0.953790623
28/11/2019,Sentiment-STD,0.955990675
29/11/2019,Sentiment-STD,0.952903035
30/11/2019,Sentiment-STD,0.950152799
01/12/2019,Sentiment-STD,0.949068397
02/12/2019,Sentiment-STD,0.949564574
03/12/2019,Sentiment-STD,0.956438377
04/12/2019,Sentiment-STD,0.959316688
05/12/2019,Sentiment-STD,0.960474701
06/12/2019,Sentiment-STD,0.962071055
07/12/2019,Sentiment-STD,0.962818825
08/12/2019,Sentiment-STD,0.960734474
09/12/2019,Sentiment-STD,0.954207985
10/12/2019,Sentiment-STD,0.956185329
11/12/2019,Sentiment-STD,0.957019751
12/12/2019,Sentiment-STD,0.960955639
13/12/2019,Sentiment-STD,0.958693073
14/12/2019,Sentiment-STD,0.958306293
15/12/2019,Sentiment-STD,0.954160301
16/12/2019,Sentiment-STD,0.946494542
17/12/2019,Sentiment-STD,0.947027401
18/12/2019,Sentiment-STD,0.950837538
19/12/2019,Sentiment-STD,0.953860045
20/12/2019,Sentiment-STD,0.954117044
21/12/2019,Sentiment-STD,0.954965057
22/12/2019,Sentiment-STD,0.953447715
23/12/2019,Sentiment-STD,0.948079897
24/12/2019,Sentiment-STD,0.948684633
25/12/2019,Sentiment-STD,0.946510028
26/12/2019,Sentiment-STD,0.945559968
27/12/2019,Sentiment-STD,0.942407148
28/12/2019,Sentiment-STD,0.943932729
29/12/2019,Sentiment-STD,0.943808342
30/12/2019,Sentiment-STD,0.942203705
31/12/2019,Sentiment-STD,0.941263563
01/01/2020,Sentiment-STD,0.983382458
02/01/2020,Sentiment-STD,0.982053535
03/01/2020,Sentiment-STD,0.983497302
04/01/2020,Sentiment-STD,0.987540378
05/01/2020,Sentiment-STD,0.989328147
06/01/2020,Sentiment-STD,0.993242147
07/01/2020,Sentiment-STD,0.998341626
08/01/2020,Sentiment-STD,1.003389279
09/01/2020,Sentiment-STD,1.004517195
10/01/2020,Sentiment-STD,0.999573258
11/01/2020,Sentiment-STD,0.997034362
12/01/2020,Sentiment-STD,0.995751104
13/01/2020,Sentiment-STD,0.992923711
14/01/2020,Sentiment-STD,0.992753142
15/01/2020,Sentiment-STD,0.993567473
16/01/2020,Sentiment-STD,0.993216106
17/01/2020,Sentiment-STD,0.990055456
18/01/2020,Sentiment-STD,0.987993032
19/01/2020,Sentiment-STD,0.987398235
20/01/2020,Sentiment-STD,0.980853995
21/01/2020,Sentiment-STD,0.982257039
22/01/2020,Sentiment-STD,0.986266836
23/01/2020,Sentiment-STD,0.99252172
24/01/2020,Sentiment-STD,0.995334097
25/01/2020,Sentiment-STD,0.995789688
26/01/2020,Sentiment-STD,0.993496203
27/01/2020,Sentiment-STD,1.000284044
28/01/2020,Sentiment-STD,0.9994618
29/01/2020,Sentiment-STD,1.001823233
30/01/2020,Sentiment-STD,1.004757382
31/01/2020,Sentiment-STD,1.002572783
01/02/2020,Sentiment-STD,1.000937402
02/02/2020,Sentiment-STD,0.999502694
03/02/2020,Sentiment-STD,1.001157978
04/02/2020,Sentiment-STD,1.002657274
05/02/2020,Sentiment-STD,1.0027404
06/02/2020,Sentiment-STD,1.004490391
07/02/2020,Sentiment-STD,1.003403885
08/02/2020,Sentiment-STD,1.003678899
09/02/2020,Sentiment-STD,1.001672827
10/02/2020,Sentiment-STD,1.001238572
11/02/2020,Sentiment-STD,1.002720143
12/02/2020,Sentiment-STD,1.001540243
13/02/2020,Sentiment-STD,1.00078926
14/02/2020,Sentiment-STD,0.999836488
15/02/2020,Sentiment-STD,1.002222734
16/02/2020,Sentiment-STD,0.998401497
17/02/2020,Sentiment-STD,1.000015708
18/02/2020,Sentiment-STD,1.000296507
19/02/2020,Sentiment-STD,1.003103776
20/02/2020,Sentiment-STD,1.002865171
21/02/2020,Sentiment-STD,1.000497529
22/02/2020,Sentiment-STD,0.999558204
23/02/2020,Sentiment-STD,0.99839627
24/02/2020,Sentiment-STD,1.000878705
25/02/2020,Sentiment-STD,1.002380282
26/02/2020,Sentiment-STD,1.006622242
27/02/2020,Sentiment-STD,1.008608468
28/02/2020,Sentiment-STD,1.012397229
29/02/2020,Sentiment-STD,1.014115004
01/03/2020,Sentiment-STD,1.014935308
02/03/2020,Sentiment-STD,1.011897494
03/03/2020,Sentiment-STD,1.012711356
04/03/2020,Sentiment-STD,1.009640073
05/03/2020,Sentiment-STD,1.013090363
06/03/2020,Sentiment-STD,1.016467791
07/03/2020,Sentiment-STD,1.01596133
08/03/2020,Sentiment-STD,1.016262042
09/03/2020,Sentiment-STD,1.022834865
10/03/2020,Sentiment-STD,1.029662307
11/03/2020,Sentiment-STD,1.030509787
12/03/2020,Sentiment-STD,1.039281023
13/03/2020,Sentiment-STD,1.037812584
14/03/2020,Sentiment-STD,1.035057731
15/03/2020,Sentiment-STD,1.032835039
16/03/2020,Sentiment-STD,1.029007651
17/03/2020,Sentiment-STD,1.025227871
18/03/2020,Sentiment-STD,1.022957379
19/03/2020,Sentiment-STD,1.020835745
20/03/2020,Sentiment-STD,1.019632203
21/03/2020,Sentiment-STD,1.018590655
22/03/2020,Sentiment-STD,1.015989596
23/03/2020,Sentiment-STD,1.011262574
24/03/2020,Sentiment-STD,1.006499061
25/03/2020,Sentiment-STD,1.002023724
26/03/2020,Sentiment-STD,1.001780118
27/03/2020,Sentiment-STD,0.999170207
28/03/2020,Sentiment-STD,0.999035952
29/03/2020,Sentiment-STD,1.000402185
30/03/2020,Sentiment-STD,1.002176369
31/03/2020,Sentiment-STD,0.995749782
01/04/2020,Sentiment-STD,0.997119644
02/04/2020,Sentiment-STD,1.002534685
03/04/2020,Sentiment-STD,1.00281777
04/04/2020,Sentiment-STD,1.001197062
05/04/2020,Sentiment-STD,1.001151882
06/04/2020,Sentiment-STD,0.997556069
07/04/2020,Sentiment-STD,0.995679113
08/04/2020,Sentiment-STD,0.994761474
09/04/2020,Sentiment-STD,0.99671338
10/04/2020,Sentiment-STD,0.996302168
11/04/2020,Sentiment-STD,0.99716799
12/04/2020,Sentiment-STD,0.996561369
13/04/2020,Sentiment-STD,0.997466408
14/04/2020,Sentiment-STD,0.997395946
15/04/2020,Sentiment-STD,1.000269878
16/04/2020,Sentiment-STD,0.998663273
17/04/2020,Sentiment-STD,0.997547521
18/04/2020,Sentiment-STD,0.996216526
19/04/2020,Sentiment-STD,0.996998252
20/04/2020,Sentiment-STD,0.997046827
21/04/2020,Sentiment-STD,0.998962908
22/04/2020,Sentiment-STD,0.99789076
23/04/2020,Sentiment-STD,0.997989493
24/04/2020,Sentiment-STD,0.994697236
25/04/2020,Sentiment-STD,0.990859396
26/04/2020,Sentiment-STD,0.991756206
27/04/2020,Sentiment-STD,0.987394113
28/04/2020,Sentiment-STD,0.983657437
29/04/2020,Sentiment-STD,0.982424596
30/04/2020,Sentiment-STD,0.982638248
01/05/2020,Sentiment-STD,0.979199363
02/05/2020,Sentiment-STD,0.97724583
03/05/2020,Sentiment-STD,0.976465068
04/05/2020,Sentiment-STD,0.979272328
05/05/2020,Sentiment-STD,0.978608088
06/05/2020,Sentiment-STD,0.975713587
07/05/2020,Sentiment-STD,0.974866514
08/05/2020,Sentiment-STD,0.977236623
09/05/2020,Sentiment-STD,0.976935923
10/05/2020,Sentiment-STD,0.974256991
11/05/2020,Sentiment-STD,0.971652774
12/05/2020,Sentiment-STD,0.971995328
13/05/2020,Sentiment-STD,0.972254863
14/05/2020,Sentiment-STD,0.974404449
15/05/2020,Sentiment-STD,0.975033359
16/05/2020,Sentiment-STD,0.974875337
17/05/2020,Sentiment-STD,0.973307873
18/05/2020,Sentiment-STD,0.971329033
19/05/2020,Sentiment-STD,0.970917992
20/05/2020,Sentiment-STD,0.974104213
21/05/2020,Sentiment-STD,0.97651961
22/05/2020,Sentiment-STD,0.978072495
23/05/2020,Sentiment-STD,0.978781999
24/05/2020,Sentiment-STD,0.979688764
25/05/2020,Sentiment-STD,0.978386634
26/05/2020,Sentiment-STD,0.977435498
27/05/2020,Sentiment-STD,0.974285621
28/05/2020,Sentiment-STD,0.974288686
29/05/2020,Sentiment-STD,0.975287626
30/05/2020,Sentiment-STD,0.977582858
31/05/2020,Sentiment-STD,0.981726907
01/06/2020,Sentiment-STD,0.985228467
02/06/2020,Sentiment-STD,0.990298033
03/06/2020,Sentiment-STD,0.988582992
04/06/2020,Sentiment-STD,0.987295982
05/06/2020,Sentiment-STD,0.980948153
06/06/2020,Sentiment-STD,0.979597598
07/06/2020,Sentiment-STD,0.979395583
08/06/2020,Sentiment-STD,0.977625606
09/06/2020,Sentiment-STD,0.977512045
10/06/2020,Sentiment-STD,0.980019876
11/06/2020,Sentiment-STD,0.985098124
12/06/2020,Sentiment-STD,0.983844521
13/06/2020,Sentiment-STD,0.982052437
14/06/2020,Sentiment-STD,0.981842061
15/06/2020,Sentiment-STD,0.982232942
16/06/2020,Sentiment-STD,0.983323121
17/06/2020,Sentiment-STD,0.986045629
18/06/2020,Sentiment-STD,0.988755011
19/06/2020,Sentiment-STD,0.986392612
20/06/2020,Sentiment-STD,0.987541104
21/06/2020,Sentiment-STD,0.987684785
22/06/2020,Sentiment-STD,0.984732622
23/06/2020,Sentiment-STD,0.983135896
24/06/2020,Sentiment-STD,0.986196259
25/06/2020,Sentiment-STD,0.991342419
26/06/2020,Sentiment-STD,0.988740398
27/06/2020,Sentiment-STD,0.989760964
28/06/2020,Sentiment-STD,0.989569027
29/06/2020,Sentiment-STD,0.988229982
30/06/2020,Sentiment-STD,0.986491993
